20,Milwaukee Bucks,34-48,22-19,12-29,21-31,13-17,8-10,4-12,9-9,4-6,4-6,5-5,26-29,8-19,5-3,16-21,1-1,6-11,8-6,9-9,5-6,3-10,2-5
21,New Jersey Nets,34-48,19-22,15-26,23-29,11-19,8-8,6-12,9-9,4-6,4-6,3-7,24-29,10-19,6-8,18-24,1-0,8-7,6-10,6-10,5-5,4-12,4-4
22,Toronto Raptors,33-49,18-23,15-26,22-30,11-19,6-10,7-11,9-9,3-7,5-5,3-7,21-34,12-15,3-4,15-24,2-0,6-8,4-12,7-9,4-8,5-8,5-4
23,New York Knicks,32-50,20-21,12-29,20-32,12-18,5-11,6-12,9-9,3-7,3-7,6-4,21-31,11-19,1-4,12-20,1-1,7-7,4-10,9-7,3-10,5-11,3-4
24,Golden State Warriors,29-53,21-20,8-33,11-19,18-34,6-4,2-8,3-7,9-9,6-10,3-15,19-35,10-18,3-6,13-25,0-2,5-10,5-12,5-9,5-5,5-11,4-4
25,Memphis Grizzlies,24-58,16-25,8-33,10-20,14-38,1-9,4-6,5-5,1-17,8-10,5-11,15-37,9-21,2-4,11-38,1-1,3-12,6-9,1-13,4-8,4-11,5-4
26,Minnesota Timberwolves,24-58,11-30,13-28,11-19,13-39,3-7,6-4,2-8,3-13,6-12,4-14,17-34,7-24,6-8,7-27,1-0,3-11,2-14,10-4,2-11,3-14,3-4
27,Oklahoma City Thunder,23-59,15-26,8-33,8-22,15-37,4-6,2-8,2-8,4-12,5-13,6-12,13-40,10-19,7-9,6-34,0-1,2-15,2-13,7-7,3-9,7-8,2-6
28,Los Angeles Clippers,19-63,11-30,8-33,9-21,10-42,4-6,2-8,3-7,5-13,2-14,3-15,13-40,6-23,4-8,10-41,0-2,3-11,5-10,2-14,5-8,3-11,1-7
29,Washington Wizards,19-63,13-28,6-35,10-42,9-21,4-14,5-13,1-15,4-6,4-6,1-9,11-42,8-21,7-5,7-35,0-1,2-11,4-12,4-13,4-8,3-13,2-5
30,Sacramento Kings,17-65,11-30,6-35,1-29,16-36,1-9,0-10,0-10,5-13,7-9,4-14,11-43,6-22,2-14,6-33,0-2,5-12,3-10,2-14,3-10,3-9,1-8
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Cleveland Cavaliers,61-21,35-6,26-15,38-14,23-7,15-3,12-4,11-7,7-3,10-0,6-4,43-11,18-10,7-8,32-5,2-2,10-3,14-3,12-3,8-3,13-2,2-5
2,Orlando Magic,59-23,34-7,25-16,39-13,20-10,16-2,13-5,10-6,6-4,8-2,6-4,36-18,23-5,3-4,39-6,2-0,12-4,9-4,9-8,8-4,12-2,7-1
3,Los Angeles Lakers,57-25,34-7,23-18,22-8,35-17,8-2,8-2,6-4,11-7,13-3,11-7,41-13,16-12,11-7,27-13,1-1,12-2,12-3,12-5,8-4,9-6,3-4
4,Dallas Mavericks,55-27,28-13,27-14,22-8,33-19,6-4,9-1,7-3,9-9,14-4,10-6,32-20,23-7,9-2,21-14,2-1,11-4,9-5,8-7,9-4,11-4,5-2
5,Phoenix Suns,54-28,32-9,22-19,19-11,35-17,9-1,5-5,5-5,11-7,12-4,12-6,31-22,23-6,5-4,31-10,2-0,12-3,7-9,7-9,9-3,12-2,5-2
6,Atlanta Hawks,53-29,34-7,19-22,32-20,21-9,13-5,11-7,8-8,7-3,7-3,7-3,33-18,20-11,4-6,31-9,2-0,10-5,9-5,9-6,7-5,11-5,5-3
7,Denver Nuggets,53-29,34-7,19-22,19-11,34-18,7-3,7-3,5-5,12-4,11-7,11-7,35-18,18-11,9-4,29-13,2-0,10-5,8-7,12-3,7-5,9-7,5-2
8,Utah Jazz,53-29,32-9,21-20,22-8,31-21,9-1,7-3,6-4,8-8,10-8,13-5,32-19,21-10,5-3,32-14,1-1,9-6,8-7,10-4,10-3,12-5,3-3
9,Boston Celtics,50-32,24-17,26-15,33-19,17-13,13-3,10-8,10-8,7-3,5-5,5-5,32-18,18-14,8-6,23-10,3-0,10-4,10-4,6-8,7-5,11-6,3-5
10,Oklahoma City Thunder,50-32,27-14,23-18,22-8,28-24,9-1,5-5,8-2,9-7,11-7,8-10,30-21,20-11,7-11,25-9,2-0,7-8,9-6,8-7,9-2,11-5,4-4
11,Portland Trail Blazers,50-32,26-15,24-17,17-13,33-19,6-4,6-4,5-5,8-8,13-5,12-6,31-24,19-8,6-3,24-13,1-2,11-5,9-6,7-8,7-6,11-2,4-3
12,San Antonio Spurs,50-32,29-12,21-20,19-11,31-21,6-4,6-4,7-3,8-10,14-4,9-7,30-21,20-11,6-4,34-9,2-1,7-5,10-5,8-8,6-5,12-5,5-3
13,Miami Heat,47-35,24-17,23-18,32-20,15-15,13-5,10-8,9-7,4-6,7-3,4-6,26-27,21-8,7-3,27-18,2-0,7-7,7-7,8-9,5-8,12-3,6-1
14,Milwaukee Bucks,46-36,28-13,18-23,31-21,15-15,13-5,10-6,8-10,7-3,5-5,3-7,24-27,22-9,7-12,19-17,1-1,8-6,3-11,8-7,10-4,11-4,5-3
15,Charlotte Bobcats,44-38,31-10,13-28,27-25,17-13,8-10,9-9,10-6,4-6,8-2,5-5,26-25,18-13,9-7,21-11,1-2,6-7,5-9,12-4,4-7,11-6,5-3
16,Houston Rockets,42-40,23-18,19-22,14-16,28-24,7-3,4-6,3-7,11-7,8-10,9-7,27-24,15-16,5-5,17-15,2-1,7-7,11-5,5-9,4-7,8-8,5-3
17,Chicago Bulls,41-41,24-17,17-24,28-24,13-17,10-8,10-6,8-10,4-6,3-7,6-4,25-26,16-15,7-5,15-21,1-1,5-8,7-8,10-5,8-6,4-11,6-2
18,Memphis Grizzlies,40-42,23-18,17-24,18-12,22-30,8-2,6-4,4-6,8-10,9-9,5-11,26-25,14-17,6-4,17-26,1-1,5-11,9-4,10-5,5-8,8-7,2-6
19,Toronto Raptors,40-42,25-16,15-26,29-23,11-19,11-5,10-8,8-10,2-8,4-6,5-5,29-23,11-19,6-5,19-24,1-1,6-10,9-6,10-5,5-5,6-10,3-5
20,New Orleans Hornets,37-45,24-17,13-28,11-19,26-26,2-8,4-6,5-5,8-10,11-7,7-9,28-25,9-20,6-3,5-24,1-1,6-9,7-6,12-5,5-8,4-12,2-4
21,Indiana Pacers,32-50,23-18,9-32,23-29,9-21,11-7,6-10,6-12,3-7,4-6,2-8,18-34,14-16,3-5,20-28,0-2,6-7,3-13,7-10,4-7,8-8,4-3
22,Los Angeles Clippers,29-53,21-20,8-33,14-16,15-37,4-6,6-4,4-6,7-11,5-11,3-15,21-31,8-22,5-3,12-35,0-4,8-6,6-8,6-9,4-8,3-13,2-5
23,New York Knicks,29-53,18-23,11-30,20-32,9-21,6-10,6-12,8-10,3-7,3-7,3-7,19-32,10-21,4-6,10-28,0-3,3-11,9-6,6-9,2-9,6-10,3-5
24,Detroit Pistons,27-55,17-24,10-31,18-34,9-21,7-11,2-14,9-9,3-7,2-8,4-6,18-33,9-22,4-1,7-29,1-2,5-9,5-10,4-10,6-7,2-13,4-4
25,Philadelphia 76ers,27-55,12-29,15-26,14-38,13-17,7-9,5-13,2-16,3-7,4-6,6-4,20-32,7-23,6-8,15-26,2-1,3-12,4-10,7-8,6-5,4-13,1-6
26,Golden State Warriors,26-56,18-23,8-33,11-19,15-37,7-3,3-7,1-9,6-12,5-11,4-14,14-37,12-19,2-8,14-28,0-2,6-8,3-12,4-11,4-8,4-12,5-3
27,Washington Wizards,26-56,15-26,11-30,18-34,8-22,10-8,5-13,3-13,3-7,3-7,2-8,17-33,9-23,5-12,11-31,2-1,3-9,5-10,6-10,5-6,1-16,4-4
28,Sacramento Kings,25-57,18-23,7-34,9-21,16-36,4-6,4-6,1-9,7-11,5-11,4-14,18-34,7-23,6-7,10-27,0-3,8-5,6-9,2-13,4-9,4-13,1-5
29,Minnesota Timberwolves,15-67,10-31,5-36,7-23,8-44,4-6,1-9,2-8,3-13,3-15,2-16,13-40,2-27,3-9,4-39,1-1,1-14,5-11,4-12,3-9,1-13,0-7
30,New Jersey Nets,12-70,8-33,4-37,8-44,4-26,3-13,3-15,2-16,0-10,2-8,2-8,4-48,8-22,1-7,5-44,0-3,0-14,3-12,1-13,2-11,4-12,2-5
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Chicago Bulls,62-20,36-5,26-15,39-13,23-7,10-8,15-1,14-4,7-3,7-3,9-1,38-16,24-4,9-5,31-5,1-1,8-5,12-4,12-4,8-3,13-3,8-0
2,San Antonio Spurs,61-21,36-5,25-16,23-7,38-14,6-4,9-1,8-2,14-4,14-4,10-6,46-10,15-11,7-4,32-9,1-1,14-1,13-2,12-3,9-3,8-8,4-3
3,Miami Heat,58-24,30-11,28-13,38-14,20-10,13-5,12-6,13-3,6-4,9-1,5-5,41-15,17-9,2-8,35-6,3-1,7-7,15-1,9-5,9-3,9-6,6-1
4,Dallas Mavericks,57-25,29-12,28-13,22-8,35-17,9-1,4-6,9-1,12-6,15-3,8-8,40-16,17-9,10-6,22-8,2-1,11-3,11-3,8-8,11-1,10-6,4-3
5,Los Angeles Lakers,57-25,30-11,27-14,21-9,36-16,9-1,6-4,6-4,12-6,12-4,12-6,38-19,19-6,4-4,30-9,3-0,10-5,10-5,10-5,9-4,12-1,3-5
6,Boston Celtics,56-26,33-8,23-18,37-15,19-11,13-3,13-5,11-7,8-2,7-3,4-6,40-14,16-12,8-8,30-7,2-1,11-3,11-3,12-4,7-4,9-7,4-4
7,Oklahoma City Thunder,55-27,30-11,25-16,22-8,33-19,6-4,8-2,8-2,13-3,12-6,8-10,35-19,20-8,10-5,22-8,2-1,10-5,11-5,7-6,6-5,14-2,5-3
8,Orlando Magic,52-30,29-12,23-18,36-16,16-14,12-6,13-5,11-5,4-6,7-3,5-5,36-21,16-9,6-7,33-9,1-1,12-3,8-8,10-6,7-4,9-6,5-2
9,Denver Nuggets,50-32,33-8,17-24,20-10,30-22,5-5,8-2,7-3,9-7,12-6,9-9,32-25,18-7,7-8,29-10,2-1,8-5,8-7,10-7,7-6,10-3,5-3
10,Portland Trail Blazers,48-34,30-11,18-23,18-12,30-22,5-5,8-2,5-5,10-6,10-8,10-8,32-24,16-10,7-4,19-15,3-0,5-9,9-7,8-6,8-4,10-6,5-2
11,Memphis Grizzlies,46-36,30-11,16-25,16-14,30-22,5-5,7-3,4-6,11-7,11-7,8-8,31-26,15-10,9-10,23-12,2-1,6-9,6-8,11-6,8-4,9-5,4-3
12,New Orleans Hornets,46-36,28-13,18-23,19-11,27-25,4-6,6-4,9-1,9-9,9-9,9-7,33-25,13-11,8-6,16-17,3-0,9-5,7-9,12-4,4-8,8-6,3-4
13,Atlanta Hawks,44-38,24-17,20-21,31-21,13-17,10-8,12-6,9-7,5-5,6-4,2-8,34-21,10-17,7-1,21-21,3-0,8-7,10-7,9-4,6-6,7-8,1-6
14,Houston Rockets,43-39,25-16,18-23,18-12,25-27,7-3,7-3,4-6,9-9,11-7,5-11,26-31,17-8,7-8,21-11,0-3,5-9,11-4,6-11,8-4,9-5,4-3
15,New York Knicks,42-40,23-18,19-22,28-24,14-16,10-6,8-10,10-8,5-5,4-6,5-5,28-26,14-14,4-5,18-14,1-2,9-7,8-5,7-8,5-5,7-11,5-2
16,Philadelphia 76ers,41-41,26-15,15-26,25-27,16-14,9-7,9-9,7-11,6-4,6-4,4-6,27-29,14-12,3-8,26-13,0-3,5-10,8-7,8-6,9-3,9-7,2-5
17,Phoenix Suns,40-42,23-18,17-24,17-13,23-29,6-4,7-3,4-6,9-9,9-7,5-13,27-27,13-15,7-6,15-18,1-2,7-7,6-8,8-7,9-3,5-11,4-4
