Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,ORL,PHI,PHO,POR,SAC,SAS,OKC,TOR,UTA,WAS
16,Milwaukee Bucks,0.5,0.0,0.6667,0.25,0.75,0.5,0.5,0.25,0.0,0.0,0.25,0.5,0.5,1.0,0.5,,0.5,0.0,0.0,0.3333,0.3333,0.25,0.0,0.0,0.0,0.0,0.5,0.3333,0.0,0.5
17,Minnesota Timberwolves,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.75,0.0,0.5,0.5,0.5,,0.5,0.25,0.5,0.5,0.5,0.5,0.0,0.6667,0.0,0.25,0.0,0.5,0.0
18,Brooklyn Nets,0.75,0.0,0.75,0.6667,0.75,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6667,1.0,0.5,,0.0,0.25,0.25,0.5,0.0,0.5,0.0,0.0,1.0,0.25,0.5,0.6667
19,New Orleans Pelicans,1.0,0.5,1.0,1.0,1.0,0.5,0.6667,0.0,0.6667,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.75,1.0,,1.0,0.5,1.0,1.0,0.5,0.3333,0.5,1.0,0.5,0.25,0.0
20,New York Knicks,0.0,0.0,0.6667,0.5,0.3333,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6667,0.5,0.75,0.0,,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.6667
21,Orlando Magic,0.5,0.6667,0.75,1.0,0.75,0.0,0.5,0.5,0.5,0.5,0.6667,1.0,0.5,0.5,1.0,0.6667,0.5,0.75,0.5,0.75,,0.75,0.0,1.0,0.5,0.0,1.0,0.6667,0.0,0.75
22,Philadelphia 76ers,0.25,0.25,0.6667,0.75,0.3333,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.75,0.5,0.5,0.0,0.75,0.25,,0.5,0.5,0.5,0.5,1.0,0.25,0.0,0.5
23,Phoenix Suns,0.5,0.5,1.0,1.0,1.0,0.3333,0.5,0.0,0.5,0.5,1.0,0.75,0.25,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,,1.0,1.0,0.75,1.0,1.0,0.3333,1.0
24,Portland Trail Blazers,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,,0.25,0.0,0.5,0.5,0.75,0.5
25,Sacramento Kings,0.5,0.0,1.0,0.5,0.0,0.3333,0.3333,1.0,0.25,0.5,0.5,0.25,0.25,0.5,0.5,1.0,0.3333,1.0,0.6667,1.0,0.5,0.5,0.0,0.75,,0.25,0.75,0.5,0.5,0.0
26,San Antonio Spurs,1.0,0.0,1.0,1.0,0.5,0.75,0.5,0.0,0.3333,0.5,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.25,1.0,0.75,,0.6667,0.5,0.5,1.0
27,Oklahoma City Thunder,0.5,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.3333,0.0,0.5,0.3333,0.0,0.25,0.5,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.3333,,0.5,0.0,0.0
28,Toronto Raptors,0.6667,0.25,0.5,0.6667,0.25,0.5,0.0,0.25,0.0,0.5,0.75,0.5,0.0,1.0,1.0,0.6667,1.0,0.75,0.5,0.75,0.3333,0.75,0.0,0.5,0.5,0.5,0.5,,0.0,0.25
29,Utah Jazz,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1.0,1.0,0.6667,0.5,0.75,0.25,1.0,0.5,1.0,0.5,0.5,0.75,0.5,1.0,1.0,0.6667,0.25,0.5,0.5,1.0,1.0,,1.0
30,Washington Wizards,0.5,0.75,0.75,0.6667,0.5,1.0,0.0,0.3333,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.3333,1.0,0.3333,0.25,0.5,0.0,0.5,1.0,0.0,1.0,0.75,0.0,
